0,Activity gym,Activity gym,Nashville,,,,,,,,,,,
0,Activity gym,Activity gym,Chattanooga,,,,,,,,,,,
4,Activity gym,Activity gym,Oak Ridge,,,,,,,,,,,
11,Baby Gates,Baby Gates,Nashville,,,,,,,,,,,
 6,Baby Gates,Baby Gates,Chattanooga,,,,,,,,,,,
0,Baby Gates,Baby Gates,Oak Ridge,,,,,,,,,,,
23,Baby Proofing kits,Baby Proofing kits,Nashville,,,,,,,,,,,
 9,Baby Proofing kits,Baby Proofing kits,Chattanooga,,,,,,,,,,, 
1,Baby Proofing kits,Baby Proofing kits,Oak Ridge,,,,,,,,,,,
0,Booster Seat- Car,Booster Seat- Car,Nashville,,,,,,,,,,,
 1,Booster Seat- Car,Booster Seat- Car,Chattanooga,,,,,,,,,,,
0,Booster Seat- Car,Booster Seat- Car,Oak Ridge,,,,,,,,,,,
2,Booster Seat- Table,Booster Seat- Table,Nashville ,,,,,,,,,,,
0,Booster Seat- Table,Booster Seat- Table,Chattanooga,,,,,,,,,,,
0,Booster Seat- Table,Booster Seat- Table,Oak Ridge,,,,,,,,,,,
8,Box Fan,Box Fan,Nashville,,,,,,,,,,,
 2,Box Fan,Box Fan,Chattanooga,,,,,,,,,,,
3,Box Fan,Box Fan,Oak Ridge,,,,,,,,,,,
30,Breast Pump,Breast Pump,Nashville,,,,,,,,,,,
 1,Breast Pump,Breast Pump,Chattanooga,,,,,,,,,,,
2,Breast Pump,Breast Pump,Oak Ridge,,,,,,,,,,,
5,Convertible Car Seat,Convertible Car Seat,Nashville,,,,,,,,,,,
0,Convertible Car Seat,Convertible Car Seat,Chattanooga,,,,,,,,,,,
6,Convertible Car Seat,Convertible Car Seat,Oak Ridge,,,,,,,,,,,
144,Diapers- newborn,Diapers- newborn,Nashville,,,,,,,,,,,
0,Diapers- newborn,Diapers- newborn,Chattanooga,,,,,,,,,,,
14,Diapers- newborn,Diapers- newborn,Oak Ridge,,,,,,,,,,,
461,Diapers- size 1,Diapers- size 1,Nashville,,,,,,,,,,,
0,Diapers- size 1,Diapers- size 1,Chattanooga,,,,,,,,,,,
15,Diapers- size 1,Diapers- size 1,Oak Ridge,,,,,,,,,,,
210,Diapers- size 2,Diapers- size 2,Nashville,,,,,,,,,,,
 124 (1 box),Diapers- size 2,Diapers- size 2,Chattanooga,,,,,,,,,,,
31,Diapers- size 2,Diapers- size 2,Oak Ridge,,,,,,,,,,,
371,Diapers- size 3,Diapers- size 3,Nashville,,,,,,,,,,,
0,Diapers- size 3,Diapers- size 3,Chattanooga,,,,,,,,,,,
10,Diapers- size 3,Diapers- size 3,Oak Ridge,,,,,,,,,,,
412,Diapers- size 4,Diapers- size 4,Nashville,,,,,,,,,,,
 192 (1 box),Diapers- size 4,Diapers- size 4,Chattanooga,,,,,,,,,,,
0,Diapers- size 4,Diapers- size 4,Oak Ridge,,,,,,,,,,,
100,Diapers- size 5,Diapers- size 5,Nashville,,,,,,,,,,,
0,Diapers- size 5,Diapers- size 5,Chattanooga,,,,,,,,,,,
0,Diapers- size 5,Diapers- size 5,Oak Ridge,,,,,,,,,,,
150,Diapers- size 6,Diapers- size 6,Nashville,,,,,,,,,,,
0,Diapers- size 6,Diapers- size 6,Chattanooga,,,,,,,,,,,
0,Diapers- size 6,Diapers- size 6,Oak Ridge,,,,,,,,,,,
0,First Aid Kit,First Aid Kit,Nashville,,,,,,,,,,,
0,First Aid Kit,First Aid Kit,Chattanooga,,,,,,,,,,,
7,First Aid Kit,First Aid Kit,Oak Ridge,,,,,,,,,,,
5,High Chair,High Chair,Nashville,,,,,,,,,,,
0,High Chair,High Chair,Chattanooga,,,,,,,,,,,
1,High Chair,High Chair,Oak Ridge,,,,,,,,,,,
2,Infant Car Seat,Infant Car Seat,Nashville,,,,,,,,,,,
0,Infant Car Seat,Infant Car Seat,Chattanooga,,,,,,,,,,,
0,Infant Car Seat,Infant Car Seat,Oak Ridge,,,,,,,,,,,
47,Newborn Nests,Newborn Nest,Nashville,,,,,,,,,,,
108,Newborn Nests,Newborn Nest,Chattanooga,,,,,,,,,,,
122,Newborn Nests,Newborn Nest,Oak Ridge,,,,,,,,,,,
2,Nursing Pillow,Nursing Pillow,Oak Ridge,,,,,,,,,,,
0,Pack & Play,Pack & Play,Nashville,,,,,,,,,,,
 15,Pack & Play,Pack & Play,Chattanooga,,,,,,,,,,,
20,Pack & Play,Pack & Play,Oak Ridge,,,,,,,,,,,
0,Sleep Sack,Sleep Sack,Nashville,,,,,,,,,,,
 23,Sleep Sack,Sleep Sack,Chattanooga,,,,,,,,,,,
0,Sleep Sack,Sleep Sack,Oak Ridge,,,,,,,,,,,
0,Stroller,Stroller,Nashville,,,,,,,,,,,
0,Stroller,Stroller,Chattanooga,,,,,,,,,,,
0,Stroller,Stroller,Oak Ridge,,,,,,,,,,,
0,Wipes- 1 package,Wipes- 1 package,Nashville,,,,,,,,,,,
0,Wipes- 1 package,Wipes- 1 package,Chattanooga,,,,,,,,,,,
0,Wipes- 1 package,Wipes- 1 package,Oak Ridge,,,,,,,,,,,
